nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
10056.160156,9983.339844,10054.549805,9983.339844,10025.129883,10025.091797,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10057.070313,9992.280273,10056.160156,9979.730469,10020.549805,10020.511719,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10166.919922,10026.509766,10057.070313,9994.75,10011.469727,10011.431641,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10256.099609,10134.299805,10166.919922,10082.009766,10116.839844,10116.801758,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10067.480469,10191.80957,10256.099609,10040.480469,10050.669922,10050.631836,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9861.75,10067.480469,10067.480469,9796.879883,9827.490234,9827.453125,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9564.44043,9861.75,9861.75,9499.519531,9504.990234,9504.955078,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9502.730469,9564.44043,9564.44043,9185.490234,9211.669922,9211.635742,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9466.610352,9460.75,9502.730469,9375.769531,9460.759766,9460.724609,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9304.099609,9421.339844,9466.610352,9117.870117,9147.849609,9147.81543,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9357.030273,9278.30957,9304.099609,9141.429688,9290.389648,9290.355469,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9174.429688,9357.030273,9357.030273,9133.429688,9149.290039,9149.255859,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9269.870117,9154.05957,9174.429688,9002.769531,9079.360352,9079.326172,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9134.450195,9242.980469,9269.870117,9134.429688,9145.179688,9145.145508,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9191.719727,9038.900391,9134.450195,9027.879883,9115.099609,9115.06543,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9020.730469,9157.230469,9191.719727,9142.530273,9155.240234,9155.206055,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9123.169922,8996.709961,9020.730469,8898.129883,8932.019531,8931.986328,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9141.330078,9070.230469,9123.169922,9020.370117,9087.549805,9087.515625,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9292.120117,9075.320313,9141.330078,9055.370117,9141.330078,9141.295898,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9288.950195,9189.589844,9292.120117,9187.209961,9243.709961,9243.675781,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9230.089844,9257.089844,9288.950195,9216.580078,9220.990234,9220.956055,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9083.950195,9230.089844,9230.089844,9053.769531,9073.769531,9073.735352,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9168.110352,9032,9083.950195,8978.730469,8994.019531,8993.986328,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
8829.099609,9168.110352,9168.110352,8785.959961,8791.80957,8791.777344,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
8812.009766,8750.780273,8829.099609,8599.820313,8719,8718.967773,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
8737.080078,8806.839844,8812.009766,8658.05957,8708.830078,8708.797852,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
8733.610352,8737.080078,8737.080078,8625.839844,8695.019531,8694.987305,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8537.179688,8698.669922,8733.610352,8502.299805,8504.660156,8504.62793,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8498.740234,8393.879883,8537.179688,8393.879883,8537.179688,8537.147461,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8368.290039,8405.299805,8498.740234,8384.349609,8392.589844,8392.557617,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8325.610352,8285.280273,8368.290039,8177.540039,8221.349609,8221.317383,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8461.870117,8285.889648,8325.610352,8204.910156,8255.820313,8255.788086,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8512.570313,8373.200195,8461.870117,8364.759766,8461.870117,8461.837891,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8489.379883,8503.799805,8512.570313,8444.179688,8463.160156,8463.12793,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8392.540039,8480.769531,8489.379883,8391.299805,8429.349609,8429.317383,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8203.129883,8381.299805,8392.540039,8256.320313,8262.400391,8262.368164,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
8084.189941,8177.390137,8203.129883,7967.410156,7997.810059,7997.779297,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7579.859863,8084.189941,8084.189941,7654.879883,7832.149902,7832.120605,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7734.049805,7579.859863,7579.859863,7274.970215,7316.779785,7316.751953,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
