grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
4179.92,7141.100,7132.500,5300.800,5257.300,830.53,834.04,1121.6,1107.09,12325
4225.27,7110.400,7110.400,5267.300,5252.100,825.5,821.19,1116.87,1120.25,12817
4215.23,7166.900,7168.800,5252.100,5324.000,821.37,826.93,1106.07,1116.99,12911
4168.62,7131.200,7128.900,5324.000,5345.200,826.87,832.94,1101.68,1104.84,12895
4149.92,7158.600,7092.100,5345.200,5341.800,832.94,829.27,1101.01,1101.8,12910
4049.16,7062.600,7036.500,5341.800,5275.600,828.52,821.6,1090.09,1101.12,12704
4069.25,7032.100,7075.400,5275.600,5312.600,821.84,843.4,1088.29,1090.21,12718
4172.47,7104.100,7137.300,5312.600,5369.500,843.72,857.62,1094.59,1088.4,12704
4124.86,7131.200,7163.800,5369.500,5299.200,857.62,862.59,1108.1,1094.26,12835
3976.38,7053.100,7073.800,5299.200,5058.700,861.53,820.46,1093.92,1107.31,12955
3981.44,7108.700,7033.500,5058.700,4920.100,820.67,786.21,1086.04,1098.31,12308
3871.39,6965.900,6599.200,4920.100,4263.900,777.59,678.29,1030.68,1086.15,11545
3645.69,6355.200,6736.300,4263.900,4762.300,678.69,719.53,1028.2,1013.56,8564
3806.66,6839.600,6845.000,4762.300,4795.000,720.53,694.6,1044.18,1074.9,10759
3748.88,6763.600,6783.700,4795.000,4629.500,692.65,631.25,1055.88,1045.19,9819
3847.73,6919.600,6945.800,4649.300,4849.700,663.61,686.66,1075.24,1066.01,8986
3784.8,6922.700,6927.100,4846.800,4853.500,686.59,706.09,1066.24,1075.46,9625
3841.39,6948.600,6976.600,4853.500,4823.700,706.09,681.12,1070.74,1066.8,9922
3813.88,6957.700,6961.500,4823.700,4780.200,681.44,686.11,1057.8,1070.85,9989
3715.38,6859.800,6851.700,4780.200,4664.500,685.77,651.18,1033.6,1056.44,9434
3728.37,6902.400,6819.000,4664.500,4545.500,652,614.12,1037.43,1034.72,8823
3734.79,6830.300,6786.500,4544.400,4527.100,614.98,605.97,1034.28,1037.99,9067
3701.94,6691.200,6702.800,4334.800,4448.800,576.32,593.26,1012.22,1018.97,7522
3676.65,6690.100,6726.200,4449.600,4532.700,593.3,606.27,1015.26,1012.33,8074
3816.71,6800.100,6798.600,4532.700,4588.100,608.27,609.78,1025.95,1015.93,8735
3844.14,6798.400,6752.200,4588.100,4595.900,609.09,598.5,1018.75,1025.61,8691
3876.9,6731.700,6719.300,4594.900,4679.200,598.5,620.88,1019.65,1018.52,8904
3931.81,6752.500,6763.900,4637.050,4755.700,622.42,630.28,1026.51,1019.75,9479
