ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
3909.46,2692.8,2692.8,2769.7,2754.3,8101.7,8178.3,1725.85,1737.27,21.35
3930.23,2706.7,2706.7,2754.3,2768.4,8178.8,8095.1,1739.91,1741.77,20.39
3979.96,2660.7,2660.7,2768.4,2722.2,8094.08,8061.4,1734.99,1745.85,23.35
4066.05,2599.7,2599.7,2694.5,2663.3,8042.8,8072.2,1744.88,1742.12,19.82
4012.4,2598.7,2598.7,2663.3,2662,8073.2,8096.3,1744.83,1732.79,19.86
4034.55,2590.9,2590.9,2662,2653.7,8093.1,8058,1715.3,1723.37,19.61
4077.05,2589.1,2589.1,2653.7,2653,8058.5,7938.9,1730.85,1699.66,19.74
4106.26,2582.8,2582.8,2653,2645.9,7931.3,7847,1699.66,1666.85,20.32
4154.84,2578.4,2578.4,2645.6,2639.4,7847.5,7921.4,1675.16,1685.45,21.4
4116.99,2589.5,2589.5,2639.4,2650.7,7922.2,8060.4,1699.76,1712.54,20.2
4082.7,2621.9,2621.9,2650.7,2682.9,8058.7,8034.6,1716.49,1708.08,19.56
4009.77,2553.8,2553.8,2682.9,2614.9,8023.4,7847.8,1708.08,1671.25,22.55
3957.46,2502.9,2502.9,2614.9,2561.3,7852.7,7715.4,1686.07,1650.92,20.93
3934.33,2260.9,2260.9,2477,2299.2,7714.4,7161.2,1650.92,1532.75,24.91
3934.33,2394.1,2394.1,2299.2,2443,7160.9,7498.3,1484.72,1603.02,45.69
3803.24,2389.1,2389.1,2443,2436.1,7498.6,7506.7,1614.59,1602.75,29.32
3803.24,2415,2415,2436.1,2464.8,7497.8,7381.7,1572.89,1570.41,36.71
3790.82,2500.3,2500.3,2503.8,2551.6,7445.8,7674.4,1609.62,1629.98,32.18
3805.95,2497.1,2497.1,2551.6,2545.8,7674.2,7689.1,1627.24,1631.15,31.44
3778.23,2526.2,2526.2,2545.8,2571,7688.2,7692.6,1639.94,1637.33,32.31
3763.96,2464.5,2464.5,2571,2513.4,7691.8,7683.2,1638.14,1623.44,33.06
3747.32,2470.4,2470.4,2546.3,2518.7,7678.57,7581.3,1597.27,1602.4,36.2
