Date,y,m,d,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,jp_Open,jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj_Close,ind_Open,ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open,usvix_Adj_Close,ussp_Open,ussp_Adj_Close,eurestx_Open,eurestx_Adj_Close,blx_Open,blx_Adj_Close,fnc_Open,fnc_Adj_Close,grm_Open,grm_Adj_Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open,bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE,ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE,uk_VALUE,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
2013-09-25,2013,9,25,8283.599609,8285.280273,8253.429688,8283.900391,8283.868164,14713.03,14620.53,2206.225,2198.515,23192.711,23209.631,2004.53,1998.06,4390.238,4406.636,19947.43,19856.24,5234.2,5275.9,5229.5,5270.1,15339.02,15273.26,3772.59,3761.1,14.24,14.01,1698.02,1692.77,2927.35,2927.35,2824.37,2822.45,4185.2,4195.35,8655.04,8665.63,12848.9,12836.7,41203.141,41724.031,4811.36,4798.45,3902.07,3918.11,54425,54261,1141.85,1135.82,29.55,98.62,6.119,7.7537,2.2221,1.0294,62.2,1076.42,3.221,12.934,6.408,9.93,1.2529,0.9082,0.9386,1.3536,0.827,1.608,1.875,1.36,2.882,1.72,29856,12968,49249,130366,350205,140188,163758,23570
2013-09-26,2013,9,26,8290.099609,8290.099609,8184.680176,8184.680176,8184.649414,14553.06,14799.12,2192.226,2155.809,23192.699,23125.029,1992.1,2007.32,4402.947,4405.762,19853.66,19893.85,5275.9,5294.5,5270.1,5288.2,15274.42,15328.3,3774.95,3787.43,13.8,14.06,1694.05,1698.67,2922.99,2922.99,2823.01,2827.04,4199.02,4186.72,8678.82,8664.1,12836.7,12841.6,41724.84,41327.578,4803.72,4838.54,3896.27,3902.07,54263,53783,1142.41,1139.165,29.56,98.95,6.1194,7.7542,2.238,1.0321,61.68,1075.2,3.2145,13.0465,6.4256,10,1.2546,0.9105,0.9354,1.3484,0.8276,1.6012,1.875,1.36,2.882,1.72,29856,12968,49249,130366,350205,140188,163758,23570
2013-09-27,2013,9,27,8222.129883,8244.860352,8207.719727,8230.679688,8230.647461,14803.99,14760.07,2150.961,2160.027,23199.09,23207.039,2012.26,2011.8,4436.764,4423.588,19951.73,19727.27,5294.5,5307.1,5288.2,5302.3,15317.45,15258.24,3767.89,3781.59,14.62,15.46,1695.52,1691.75,2919.34,2919.34,2823.78,2818.17,4193.17,4186.77,8672.82,8661.51,12841.6,12844.1,41316.691,40903.648,4834.34,4730.14,3872.91,3896.27,53781,53739,1142.97,1142.51,29.54,98.3,6.1179,7.7539,2.2577,1.03,62.48,1074.38,3.226,13.1465,6.417,10.07,1.2556,0.905,0.9324,1.3537,0.8273,1.6135,1.875,1.36,2.882,1.72,29856,12968,49249,130366,350205,140188,163758,23570
2013-09-30,2013,9,30,8174.859863,8204.400391,8137.109863,8173.870117,8173.839355,14530.62,14455.8,2167.734,2174.665,22946.74,22859.859,2002.02,1996.96,4385.507,4316.047,19643.891,19379.77,5307.1,5218.9,5302.3,5217.7,15249.82,15129.67,3737.6,3771.48,17.49,16.6,1687.26,1681.55,2893.15,2893.15,2797.84,2802.27,4141.55,4143.44,8562.85,8594.4,12843.2,12787.2,40900.109,40185.23,4696.67,4783.77,3823.85,3872.91,53737,52338,1142.97,1142.51,29.56,98.29,6.12,7.7551,2.2193,1.0284,62.58,1073.33,3.256,13.155,6.4095,10.045,1.2547,0.9041,0.9342,1.3535,0.8323,1.6179,1.875,1.36,2.882,1.72,29856,12968,49249,130366,350205,140188,163758,23570
2013-10-01,2013,10,1,8173.990234,8222.379883,8172.790039,8187.02002,8186.989258,14517.98,14484.72,2169.819,2186.432,22971.976,22922.17,1997.62,1998.87,4314.961,4345.77,19452.051,19517.15,5218.9,5206.8,5217.7,5206.3,15132.49,15191.7,3774.18,3817.98,16.31,15.54,1682.41,1695,2933.02,2933.02,2801.29,2829.38,4151.92,4196.6,8618.59,8689.14,12787.2,12847.4,40185.512,41335.27,4786.98,4906.52,3855.7,3823.85,52337,53179,1147.17,1150.47,29.49,98.05,6.12,7.7535,2.224,1.0333,62.46,1072.9,3.232,13.1771,6.3584,10.08,1.252,0.9064,0.9387,1.3534,0.8272,1.6208,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
2013-10-02,2013,10,2,8215.959961,8228.80957,8204.339844,8216.519531,8216.487305,14492.47,14170.49,2169.819,2186.432,22997.211,22984.48,2012.07,1999.47,4372.014,4387.474,19518.92,19709.61,5206.8,5215.6,5206.3,5214.9,15182.65,15133.14,3793.11,3815.02,16.4,16.6,1691.9,1693.87,2918.31,2918.31,2821.79,2819.67,4177.62,4158.16,8650.71,8629.42,12847.4,12839,41321.941,41300.66,4910.06,4869.8,3821.79,3855.7,53176,53100,1148.99,1148.53,29.44,97.36,6.12,7.7545,2.2031,1.033,62.46,1074.02,3.2255,13.153,6.3751,10.0335,1.2492,0.9017,0.9366,1.3592,0.827,1.6224,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
2013-10-03,2013,10,3,8231.679688,8376.790039,8231.679688,8359.019531,8358.987305,14140.11,14157.25,2169.819,2186.432,23167.199,23214.4,2005.995,1998.225,4396.521,4418.512,19585.789,19902.07,5215.6,5234.9,5214.9,5232,15127.23,14996.48,3809.9,3774.34,16.63,17.67,1692.35,1678.66,2902.12,2902.12,2824.24,2796.37,4158.93,4127.98,8620.81,8626.195,12839,12735.1,41295.762,40841.129,4874.44,4866.55,3826.61,3821.79,53101,52490,1149.65,1136.91,29.32,97.08,6.12,7.7542,2.2086,1.0324,61.97,1074.02,3.1925,13.2465,6.3345,10.075,1.2487,0.8972,0.9382,1.3642,0.8291,1.6169,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
2013-10-04,2013,10,4,8345.820313,8376.05957,8336.610352,8364.549805,8364.517578,14029.73,14024.31,2169.819,2186.432,23051.551,23138.539,1999.92,1996.98,4408.745,4389.217,19870,19915.949,5234.9,5208,5232,5205.9,14994.68,15072.58,3774.72,3807.75,17.72,16.74,1678.79,1690.5,2928.31,2928.31,2794.62,2812.58,4127.34,4164.25,8590.91,8622.97,12735.1,12758.7,40847.441,40909.539,4867.74,4855.47,3839.24,3832,52489,52849,1149.705,1145.72,29.32,97.2,6.12,7.7541,2.2005,1.0306,61.42,1070,3.18,13.0855,6.4141,9.995,1.2464,0.9052,0.9443,1.3582,0.8327,1.6069,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
2013-10-07,2013,10,7,8354.910156,8361.5,8323.790039,8333.660156,8333.62793,14057.79,13853.32,2169.819,2186.432,23152.92,22973.949,1997.17,1994.42,4392.546,4374.829,19880.939,19895.1,5161.1,5149.4,5160.6,5148.1,15069.3,14936.24,3776.64,3770.38,18.76,19.41,1687.15,1676.12,2923.04,2923.04,2809.63,2807.8,4145.11,4165.58,8557.04,8591.58,12758.7,12788.3,40909.461,40451.16,4870.18,4923.96,3812.86,3839.24,52841,52417,1149.76,1154.53,29.34,97.02,6.12,7.7542,2.2027,1.0306,61.79,1071.29,3.188,13.088,6.421,9.971,1.2479,0.905,0.9436,1.3569,0.833,1.6082,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
2013-10-08,2013,10,8,8340.330078,8375.650391,8311.589844,8375.650391,8375.618164,13794.74,13894.61,2171.904,2198.199,22988.221,23178.85,1987.97,2002.76,4359.028,4432.375,20094.211,19983.609,5144.8,5153,5144,5151.6,14938.04,14776.53,3772.22,3694.83,19.01,20.34,1676.22,1655.45,2903.35,2903.35,2806.85,2789.61,4160.88,4133.53,8591.02,8555.89,12788.3,12692.4,40455.52,39916.84,4920.14,4925.69,3809.79,3812.86,52413,52312,1158.8,1158.74,29.35,96.94,6.1206,7.7542,2.2016,1.033,61.79,1074.15,3.195,13.152,6.4218,9.9775,1.2491,0.904,0.9449,1.3582,0.8304,1.6089,1.875,1.36,2.882,1.65,29699,12967,49052,130148,350810,141640,163842,22202
