Date,y,m,d,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,jp_Open
1997-07-02,1997,7,2,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,20203.520
1997-07-03,1997,7,3,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,20238.721
1997-07-04,1997,7,4,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,20122.811
1997-07-07,1997,7,7,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,19931.891
1997-07-08,1997,7,8,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,19731.971
1997-07-09,1997,7,9,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,19920.689
1997-07-10,1997,7,10,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,19709.770
1997-07-11,1997,7,11,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,19788.279
1997-07-14,1997,7,14,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,19909.090
1997-07-15,1997,7,15,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,20236.820
1997-07-16,1997,7,16,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,20139.311
1997-07-17,1997,7,17,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,20412.240
1997-07-18,1997,7,18,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258,20444.240
1997-07-21,1997,7,21,9814.25,9896.730469,9750.700195,9833.769531,9833.732422,20345.530
1997-07-22,1997,7,22,9877.389648,9877.389648,9543.759766,9550.400391,9550.365234,20246.820
1997-07-23,1997,7,23,9694.280273,9694.280273,9345.900391,9381.05957,9381.025391,20244.119
1997-07-24,1997,7,24,9500.860352,9632.419922,9475.540039,9632.419922,9632.383789,20164.320
1997-07-25,1997,7,25,9719.05957,9819.769531,9710.269531,9808.910156,9808.873047,20329.730
1997-07-28,1997,7,28,9929.980469,9995.370117,9899.580078,9923.049805,9923.011719,20420.240
