bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE
13016,310.33,310.16,30.8,120.66,8.3132,7.751,1.0999,1.389,36.25
12956,310.16,310.16,30.8,120.71,8.31,7.75,1.1007,1.3915,36.2
11899,310.16,310.16,30.5,121.67,8.3136,7.7275,1.1005,1.3895,36.3
11545,304.205,302.43,30.7,121.73,8.3133,7.734,1.1025,1.392,36.3
9817,298.25,294.7,30.8,121.87,8.3134,7.731,1.1035,1.3981,36.34
10447,275.37,265.64,31,119.7,8.313,7.735,1.1032,1.409,36.3
9818,280.68,286.88,31.3,120.53,8.3132,7.731,1.1022,1.4015,36.345
8855,281.96,279.02,31.2,120.68,8.3136,7.7305,1.1055,1.4075,36.32
9858,289.36,290.48,31.4,121.04,8.3129,7.7345,1.1028,1.4065,36.405
10254,290.48,288.45,30.85,121.83,8.3126,7.733,1.1037,1.4039,36.4
9988,288.61,289.45,30.6,122.56,8.3122,7.7315,1.104,1.4005,36.4
9435,288.61,287.56,30.8,123.16,8.312,7.733,1.1077,1.4025,36.5
8833,285.02,283.455,31,123.97,8.3117,7.731,1.1075,1.4095,36.55
9006,281.43,279.35,31.05,124.15,8.3113,7.7305,1.1055,1.4071,36.64
8711,279.35,279.43,31.175,125.04,8.3109,7.73125,1.10675,1.40765,36.72
8072,271.38,270.98,31.3,125.93,8.3105,7.732,1.108,1.4082,36.8
8732,273.955,274.835,31.5,126.78,8.3106,7.731,1.1083,1.4127,36.8
9083,276.53,278.69,31.8,125.85,8.3105,7.731,1.1056,1.4149,36.94
9028,278.69,276.3,32,125.85,8.3104,7.7305,1.1067,1.4145,37.6
9332,275.55,274.85,33.25,127.22,8.3103,7.7315,1.1077,1.4155,37.6
9189,277.75,279.75,33,126.81,8.3103,7.731,1.108,1.421,37.54
9422,279.825,279.835,32.4,125.85,8.3102,7.731,1.11,1.417,37.83
9070,281.9,279.92,32.5,127.07,8.3101,7.7305,1.109,1.421,38.32
9151,279.92,281,32.75,127.45,8.31,7.7305,1.1107,1.418,38.265
9373,282.05,282.33,32.55,127.51,8.3101,7.7305,1.1099,1.4245,38.75
9619,283.06,285.82,32.45,127.625,8.30985,7.73045,1.1096,1.4245,38.925
9395,284.66,287.015,32.35,127.74,8.3096,7.7304,1.1093,1.4245,39.1
9648,286.26,288.21,32.45,129.15,8.3096,7.734,1.11,1.4245,39.45
9964,288.21,288.85,32.45,128.77,8.3099,7.738,1.111,1.4218,39.5
9992,288.85,288.85,32.5,128.72,8.3101,7.736,1.1101,1.418,39.45
10046,288.85,288.85,32.2,129.4,8.31,7.7375,1.1105,1.4227,39.15
10080,288.85,288.97,32.45,130.2,8.31,7.7375,1.111,1.423,39
10079,288.85,289.09,32.15,130.5,8.31,7.7377,1.1117,1.4223,38.995
9840,289.68,291.12,32.15,129.8,8.31,7.7405,1.112,1.4224,39.15
9462,289.82,287.36,32.55,129.09,8.31,7.7455,1.1135,1.4242,39.15
9109,282.31,281.79,32.9,129.92,8.3096,7.75,1.1145,1.4241,39.6
9147,281.665,282.96,32.75,130.73,8.3093,7.75,1.1166,1.4208,39.6
9551,281.02,284.13,32.15,131.08,8.31,7.75,1.113,1.4212,39.575
9743,284.13,284.09,32.15,130.87,8.31,7.75,1.113,1.4237,40
9854,284.09,284.25,32.6,127,8.31,7.749,1.1147,1.4229,40
9483,283.68,282.47,32.35,128.53,8.31,7.75,1.1145,1.4245,40
9139,281.275,280.355,32.35,129.1,8.31,7.75,1.1145,1.4328,40
9494,278.87,278.24,32.35,130.38,8.31,7.75,1.115,1.4345,39.06
9554,279.27,279.65,32.7,130,8.31,7.7485,1.115,1.4364,39.01
9630.5,276.38,275.74,32.7,130.06,8.31,7.75,1.1148,1.4355,39
9707,277.71,279.215,32.8,130.3,8.3093,7.7495,1.1157,1.4356,39.3
10052,279.04,282.69,32.8,130.05,8.31,7.75,1.1157,1.4398,39.16
10197,283.87,288.34,32.75,130.05,8.31,7.749,1.1165,1.4365,39.35
10402,289.68,290.96,32.8,130.45,8.31,7.7495,1.1165,1.4288,39.3
10607,289.7,288.72,33.6,133.99,8.31,7.75,1.116,1.4264,39.48
10185,289.93,290.24,33.95,133.88,8.31,7.75,1.116,1.431,39.55
9879,287.01,286.08,34.5,131.7,8.3,7.736,1.1175,1.4297,39.76
9658,284.42,283.48,34.8,132.49,8.31,7.7485,1.118,1.4317,39.8
9118,278.515,273.775,34.4,131.52,8.31,7.75,1.1173,1.4255,39.95
9227,272.61,264.07,34.7,132.83,8.31,7.744,1.1193,1.4345,39.97
9416,264.07,269.28,34.7,131.72,8.31,7.748,1.1183,1.4362,40
9349,269.28,268.59,34.3,131.43,8.31,7.7455,1.1185,1.4348,40.3
9140,267.19,265.45,34.15,130.41,8.31,7.739,1.1215,1.4369,40.4
9448,267.725,268.305,33.9,128.88,8.3089,7.738,1.1205,1.4366,40
9753,268.26,271.16,33.85,128.84,8.30945,7.737,1.12075,1.4378,39.6
9568,271.16,273.55,33.8,128.8,8.31,7.736,1.121,1.439,39.2
9385,273.55,273.07,33.49,127.5,8.31,7.736,1.121,1.4437,38.9
9709,269.58,267.87,33.85,127.22,8.31,7.7395,1.121,1.4508,38.9
9973,272.04,273.75,33.5,126.65,8.279,7.7365,1.1235,1.4529,38.95
10055,273.75,272.84,33.25,126.02,8.31,7.737,1.1245,1.4512,38.9
9971,272.84,269.25,34.05,123.78,8.31,7.7355,1.1242,1.4471,38.85
9948,269.25,271.18,32.95,123.31,8.31,7.736,1.1245,1.4388,38.85
10011,269.485,269.79,32.95,124.26,8.3095,7.7375,1.1255,1.4285,38.85
10240,269.72,268.4,33.15,124.28,8.29,7.739,1.1255,1.4354,38.56
10278,267.47,265.59,32.95,123.47,8.31,7.7388,1.1262,1.4295,38.9
10485,263.58,263.12,32.8,123.53,8.31,7.739,1.1265,1.4363,38.79
10350,263.22,263.45,32.9,123.78,8.31,7.74,1.1262,1.4383,38.85
10391,264.235,263.57,32.85,125.37,8.3096,7.7395,1.1277,1.4431,38.85
10233,265.25,263.69,32.95,126.12,8.3098,7.7405,1.1281,1.4418,38.9
10420,263.69,266.73,33.05,126.87,8.31,7.7415,1.1285,1.4405,38.95
10322,266.73,269.77,32.97,126.35,8.31,7.745,1.1288,1.4355,38.9
10236,269.77,271.7,32.85,126.25,8.31,7.745,1.1295,1.4235,38.9
10319,271.93,275.67,32.9,127.73,8.3092,7.7455,1.1295,1.4205,39.39
10319,274.09,279.64,32.95,128.92,8.31,7.7465,1.1295,1.4246,39.3
10432.5,279.64,280.73,32.8,128.15,8.31,7.7465,1.1295,1.4218,39.35
