ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE
1309.5,3.8,9.1775,10.395,11.48,1.848,1.6553,0.5238,0.8925,0.4317
1311.9,3.8,9.2,10.395,11.45,1.8472,1.6615,0.5237,0.8882,0.4285
1312.3,3.8,9.247,10.294,11.55,1.846,1.6623,0.5229,0.8925,0.4264
1315.5,3.8,9.25,10.296,11.42,1.8416,1.6602,0.521,0.8905,0.4238
1312.3,3.8,9.185,10.342,11.55,1.8335,1.6569,0.518,0.8935,0.423
1316.9,3.8,9.1625,10.3485,11.72,1.826,1.6602,0.5189,0.8913,0.424
1315.8,3.8,9.202,10.475,11.67,1.8325,1.6638,0.5155,0.8834,0.4204
1317.3,3.8,9.12,10.529,11.445,1.833,1.6685,0.5135,0.88,0.421
1320.5,3.8,9.13,10.435,11.5,1.8352,1.6635,0.515,0.8844,0.4235
1320.45,3.8,9.145,10.4575,11.595,1.83775,1.6632,0.5168,0.8841,0.4267
1320.4,3.8,9.16,10.48,11.69,1.8403,1.6629,0.5186,0.8838,0.4299
1331.5,3.8,9.145,10.477,11.39,1.8395,1.6654,0.5198,0.8836,0.4288
1330.5,3.8,9.127,10.517,11.255,1.84,1.6757,0.5195,0.8782,0.4275
1327.6,3.8,9.138,10.675,11.4,1.8335,1.7025,0.5167,0.8655,0.4235
1321.3,3.8,9.159,10.729,11.55,1.8335,1.709,0.5166,0.8605,0.422
1313.6,3.8,9.171,10.6625,11.41,1.834,1.7038,0.514,0.8643,0.4228
1311,3.8,9.193,10.6506,11.46,1.8355,1.7045,0.506,0.8648,0.4156
1314.4,3.8,9.152,10.672,11.42,1.8365,1.719,0.5072,0.8594,0.4167
1317.6,3.8,9.1575,10.68,11.68,1.835,1.7179,0.508,0.8613,0.4173
1322.5,3.8,9.17,10.639,11.635,1.8345,1.7021,0.5105,0.8685,0.417
1316.8,3.8,9.134,10.6575,11.63,1.8347,1.697,0.5087,0.8672,0.4164
1316.7,3.8,9.128,10.61,11.48,1.832,1.6948,0.5094,0.8693,0.4183
1318.85,3.80025,9.0995,10.5525,11.4975,1.8311,1.69215,0.51355,0.87285,0.4196
1321,3.8005,9.071,10.495,11.515,1.8302,1.6895,0.5177,0.8764,0.4209
1320,3.8005,9.089,10.565,11.41,1.829,1.6999,0.5171,0.8705,0.4204
1318.8,3.8,9.0775,10.4995,11.44,1.8313,1.6987,0.5169,0.8712,0.4186
1322,3.8,9.115,10.445,11.44,1.8328,1.689,0.5133,0.8757,0.4186
1323.9,3.8,9.08,10.436,11.475,1.8317,1.6948,0.5132,0.8713,0.4178
1325.4,3.8,9.0855,10.469,11.405,1.8337,1.6995,0.5146,0.8682,0.4185
1327.3,3.8,9.1,10.495,11.393,1.837,1.7085,0.5158,0.8642,0.4191
1323.8,3.8,9.095,10.5,11.2825,1.8314,1.706,0.5177,0.8652,0.4225
1318.2,3.8005,9.08,10.3925,10.975,1.826,1.697,0.5202,0.8705,0.4262
1316.4,3.8,9.078,10.389,11.005,1.8242,1.6977,0.5207,0.8699,0.426
1316.3,3.8,9.087,10.316,11.022,1.825,1.6819,0.5216,0.8772,0.4285
1314.5,3.8,9.076,10.309,11.59,1.8176,1.673,0.5253,0.8795,0.4301
1314.3,3.8,9.071,10.372,11.68,1.8215,1.681,0.5235,0.8752,0.4305
1317,3.8,9.074,10.353,11.476,1.8196,1.6775,0.5212,0.8768,0.428
1318.5,3.8,9.0745,10.394,11.46,1.8215,1.6767,0.5206,0.8759,0.4293
1320.5,3.8,9.1115,10.4075,11.635,1.8248,1.6739,0.52,0.877,0.4295
1320.5,3.8,9.114,10.36,11.6912,1.8218,1.6595,0.5229,0.8816,0.43
1322.8,3.8,9.085,10.337,11.906,1.8217,1.6596,0.5257,0.8823,0.4367
1325.5,3.8,9.0725,10.285,11.95,1.8275,1.6585,0.5245,0.8826,0.4355
1326.5,3.8,9.072,10.265,11.66,1.8304,1.6622,0.5235,0.8805,0.4335
1325.8,3.8,9.072,10.209,11.675,1.8276,1.6568,0.5308,0.8836,0.4413
1326.8,3.8,9.063,10.1975,11.5,1.8287,1.6555,0.5322,0.8836,0.4408
1328.4,3.8,9.038,10.255,11.47,1.8335,1.6623,0.5326,0.8791,0.4397
1331.5,3.8,9.02,10.2765,11.55,1.8395,1.666,0.5305,0.8768,0.4387
1329.3,3.8,9.031,10.276,11.49,1.849,1.669,0.5287,0.8767,0.4365
1331.5,3.8,9.0175,10.351,11.48,1.8426,1.6786,0.5275,0.8726,0.4355
1327,3.8,9.012,10.372,11.335,1.8437,1.685,0.5336,0.8711,0.4406
1325.9,3.8,9.0005,10.363,11.38,1.8425,1.682,0.5333,0.8717,0.4405
1327.5,3.8,9.014,10.237,11.36,1.8468,1.6607,0.5347,0.8806,0.4427
1329,3.8,9.002,10.281,11.21,1.8472,1.6655,0.5347,0.8782,0.442
1329,3.8,9.04,10.302,11.14,1.8423,1.6607,0.5314,0.8804,0.4394
1330.5,3.8,9.0475,10.325,11.24,1.8418,1.6654,0.5305,0.8779,0.4397
1328.2,3.8,9.021,10.3675,11.163,1.8363,1.674,0.527,0.875,0.4326
1329.6,3.8,9.042,10.3275,11.266,1.8366,1.6676,0.5274,0.8793,0.4345
1329.2,3.8,9.05,10.355,11.233,1.8353,1.6702,0.5303,0.8794,0.437
1330,3.8,9.074,10.284,11.241,1.8375,1.6604,0.5342,0.8829,0.4426
1332,3.8,9.078,10.3155,11.24,1.8375,1.6678,0.5337,0.8792,0.4422
1327.9,3.8,9.182,10.3635,11.18,1.8367,1.6666,0.5313,0.8802,0.4403
1325.6,3.8,9.1625,10.382,11.235,1.834,1.6638,0.532,0.883,0.4397
1318.7,3.8,9.205,10.29,11.153,1.8287,1.655,0.537,0.8885,0.444
1313.2,3.8,9.242,10.329,11.098,1.8236,1.6485,0.5387,0.8898,0.4454
1312.2,3.8,9.2235,10.29,11.14,1.8222,1.6508,0.539,0.8893,0.4467
1308.8,3.8,9.254,10.3685,10.991,1.814,1.6543,0.539,0.8877,0.4463
1306.3,3.8,9.27,10.321,10.97,1.8183,1.649,0.5392,0.8897,0.4467
1307,3.8,9.286,10.313,10.95,1.8155,1.6445,0.5424,0.8915,0.448
1297.6,3.8,9.36,10.2785,10.91,1.812,1.6308,0.5442,0.8978,0.4506
1297.6,3.8,9.319,10.273,10.735,1.804,1.6293,0.5427,0.898,0.4497
1293.6,3.8,9.3515,10.222,10.595,1.809,1.6215,0.538,0.9028,0.447
1294,3.8,9.375,10.28,10.64,1.813,1.6216,0.5372,0.9002,0.4472
1288,3.8,9.435,10.262,10.56,1.8115,1.6098,0.5365,0.9032,0.4455
1284,3.8,9.492,10.158,10.425,1.805,1.592,0.5381,0.9133,0.4475
1281.2,3.8,9.4075,10.116,10.43,1.8011,1.5891,0.5393,0.9166,0.4475
1279.5,3.8,9.476,10.259,10.22,1.8081,1.593,0.5411,0.9148,0.449
1285.4,3.8,9.413,10.295,10.29,1.8085,1.6102,0.539,0.904,0.4479
1282.4,3.8,9.4445,10.228,10.35,1.8095,1.6005,0.5424,0.9088,0.4512
1280,3.8,9.512,10.241,10.223,1.8047,1.5946,0.5445,0.9116,0.4525
1277.4,3.8,9.4885,10.269,10.15,1.8029,1.5983,0.546,0.9107,0.4551
1279.3,3.8,9.525,10.252,10.1279,1.808,1.6155,0.5462,0.9022,0.4554
1277.5,3.8,9.455,10.16,10.26,1.8055,1.6054,0.548,0.9074,0.4575
1269.8,3.8,9.49,10.15,10.175,1.806,1.5993,0.5492,0.9105,0.4612
1261.6,3.8,9.4785,10.017,10.06,1.7967,1.581,0.5522,0.9206,0.4635
1253.6,3.8,9.4935,9.9955,10.05,1.7922,1.5785,0.5524,0.9213,0.4655
1249.6,3.8,9.51,9.983,10.11,1.789,1.5798,0.5553,0.9191,0.467
1242.2,3.8,9.535,9.869,10.125,1.7925,1.5686,0.5584,0.9265,0.4715
1241.1,3.8,9.527,9.886,10.145,1.8003,1.5755,0.5585,0.9233,0.4761
1238.2,3.8,9.562,9.908,10.036,1.799,1.5827,0.5558,0.922,0.4707
1235.35,3.8,9.56125,9.886,9.9755,1.79625,1.5785,0.55865,0.92525,0.47345
1232.5,3.8,9.5605,9.864,9.915,1.7935,1.5743,0.5615,0.9285,0.4762
1229.3,3.8,9.61,9.815,9.82,1.793,1.5757,0.5625,0.9313,0.476
1222.5,3.8,9.713,9.721,9.713,1.7859,1.5621,0.5645,0.9373,0.4774
1219.3,3.8,9.6525,9.7445,9.78,1.788,1.5693,0.566,0.9339,0.479
1230,3.8,9.641,9.69,9.84,1.7855,1.5638,0.5714,0.939,0.486
1215.1,3.8,9.725,9.7,9.7,1.786,1.5592,0.5744,0.9424,0.4901
1219,3.8,9.739,9.732,9.955,1.7957,1.5672,0.5722,0.9391,0.4865
1230,3.8,9.7695,9.694,9.801,1.7972,1.559,0.5748,0.9457,0.4897
1233,3.8,9.735,9.756,9.884,1.791,1.555,0.5711,0.9449,0.4882
1225.5,3.8,9.696,9.7325,9.98,1.7915,1.5585,0.5693,0.9446,0.4874
1220.5,3.8,9.675,9.686,10.081,1.7925,1.562,0.5683,0.9445,0.4868
1228.6,3.8,9.716,9.685,10.12,1.7875,1.5595,0.5715,0.9473,0.4927
1228.6,3.8,9.638,9.7,10.28,1.7845,1.5638,0.5688,0.944,0.4906
1231.1,3.8,9.664,9.684,10.48,1.7885,1.5626,0.5603,0.9448,0.4843
1225.1,3.8,9.605,9.592,10.615,1.7895,1.5632,0.5583,0.9442,0.4834
1229,3.8,9.634,9.564,10.3,1.7935,1.5568,0.5618,0.9483,0.4862
1225,3.8,9.69,9.53,10.266,1.7866,1.5422,0.5655,0.9544,0.4873
1220,3.8,9.785,9.386,10.396,1.7791,1.5235,0.5709,0.9646,0.4908
1214.4,3.8,9.956,9.3277,10.25,1.7715,1.5124,0.5743,0.9705,0.4962
1208.5,3.8,9.93,9.2625,10.335,1.7674,1.5005,0.5737,0.9786,0.495
1208.7,3.8,9.815,9.34,10.348,1.7723,1.514,0.5683,0.9692,0.49
1198.9,3.8,9.978,9.271,10.3,1.7685,1.494,0.5614,0.9825,0.4842
1197.9,3.8,9.97,9.2125,10.36,1.768,1.4885,0.564,0.9885,0.4897
1205,3.8,9.98,9.207,10.39,1.766,1.492,0.5628,0.9856,0.486
1201.3,3.8,9.925,9.199,10.07,1.7694,1.4845,0.5615,0.9893,0.486
1200.8,3.8,9.968,9.214,10.1138,1.7717,1.49,0.5623,0.984,0.4878
1202.8,3.8,9.9697,9.286,10.185,1.7685,1.4907,0.5603,0.9816,0.4895
1201.35,3.8,9.93135,9.3305,10.1375,1.76925,1.49845,0.55855,0.9773,0.48765
1199.9,3.8,9.893,9.375,10.09,1.77,1.5062,0.5568,0.973,0.4858
1195,3.8,9.933,9.295,10.15,1.7627,1.4893,0.5644,0.9869,0.4905
1177.2,3.8,9.8665,9.2875,9.9962,1.7545,1.482,0.5688,0.9938,0.4927
1174.4,3.8,9.833,9.395,10.02,1.7515,1.4888,0.5672,0.989,0.4903
1174.5,3.8,9.8125,9.353,10.11,1.748,1.4793,0.5593,0.9927,0.4855
1177,3.8,9.726,9.322,9.97,1.7441,1.4832,0.5595,0.9904,0.4842
1171.6,3.8,9.757,9.199,10.04,1.739,1.4582,0.5599,1.0072,0.485
1166.8,3.8,9.727,9.244,10.1275,1.7382,1.4548,0.5583,1.0087,0.486
1166.8,3.8,9.655,9.233,10.1475,1.7397,1.454,0.5516,1.0078,0.4824
1169.8,3.8,9.649,9.245,9.96,1.7425,1.454,0.552,1.0067,0.4822
1165.6,3.8,9.716,9.23,9.95,1.731,1.4387,0.5555,1.0156,0.487
1160.6,3.8,9.6385,9.4055,9.995,1.7335,1.4408,0.5517,1.0098,0.4838
1168.21,3.8,9.613,9.553,10.086,1.7434,1.4645,0.5454,0.9933,0.4772
1170.1,3.8,9.705,9.5685,10.35,1.744,1.4561,0.5405,0.9945,0.467
1165.9,3.8,9.739,9.42,10.2,1.7445,1.4498,0.5416,0.9997,0.4672
1185.4,3.8,9.759,9.448,10.28,1.7625,1.4682,0.537,0.9882,0.463
1195,3.8,9.7085,9.478,10.09,1.7691,1.4893,0.541,0.9779,0.4685
1188,3.8,9.748,9.377,10.15,1.763,1.4749,0.5445,0.9879,0.4701
1183,3.8,9.8,9.515,10.19,1.763,1.4833,0.5445,0.9796,0.4685
1182.8,3.8,9.878,9.552,10.27,1.7567,1.4703,0.5387,0.9843,0.4642
1184.3,3.8,9.8475,9.572,10.24,1.7518,1.4708,0.5396,0.9882,0.464
1197.5,3.8,9.7865,9.556,10.523,1.756,1.477,0.5292,0.9846,0.4573
1209,3.8,9.75,9.6855,10.64,1.773,1.513,0.528,0.964,0.4505
1206,3.8,9.738,9.587,10.435,1.7663,1.497,0.5363,0.9738,0.4546
1206.7,3.8,9.7475,9.65,10.432,1.771,1.5146,0.5331,0.9653,0.455
1203.5,3.8,9.757,9.56,10.47,1.764,1.503,0.5354,0.9714,0.4578
1201,3.8,9.843,9.508,10.4475,1.7598,1.4965,0.5392,0.9778,0.4629
1204,3.8,9.947,9.449,10.612,1.7595,1.4952,0.5381,0.9787,0.4612
1186.3,3.8005,9.962,9.372,10.495,1.7452,1.4813,0.5375,0.9867,0.4622
1186,3.8,9.922,9.408,10.64,1.747,1.4907,0.5443,0.9816,0.4668
1188.9,3.8,9.86,9.384,10.5987,1.7475,1.4915,0.544,0.9836,0.4667
1194,3.8,9.76,9.444,10.62,1.7517,1.5015,0.5422,0.9775,0.4663
1195,3.8,9.7875,9.405,10.75,1.75,1.5027,0.5464,0.9779,0.469
1192,3.8,9.7885,9.347,10.88,1.7487,1.4999,0.5444,0.9796,0.4649
1193.7,3.8,9.83,9.498,10.9,1.759,1.5188,0.5398,0.9697,0.4639
1202.5,3.8,9.842,9.457,10.856,1.7556,1.5128,0.5433,0.9726,0.4662
1205.3,3.8,9.825,9.385,10.79,1.7574,1.5125,0.5442,0.9731,0.4673
1199.8,3.8,9.8495,9.2875,10.554,1.7482,1.4969,0.5534,0.9814,0.4718
1200,3.8,9.9,9.307,10.565,1.7479,1.4968,0.551,0.982,0.469
1205,3.8,9.9165,9.328,10.653,1.7503,1.4941,0.5517,0.9829,0.4682
1201.9,3.8,9.9185,9.4,10.561,1.75,1.5007,0.5495,0.9806,0.4679
1201.2,3.8,9.95025,9.3845,10.65175,1.748,1.48685,0.548,0.98825,0.4672
1200.5,3.8,9.982,9.369,10.7425,1.746,1.473,0.5465,0.9959,0.4665
1195.1,3.8,10.015,9.35,10.68,1.75,1.4751,0.5443,0.9923,0.4655
1191.2,3.8,10.005,9.346,10.58,1.748,1.4733,0.5419,0.9911,0.4664
1196.8,3.8,9.965,9.3725,10.515,1.7505,1.4848,0.5467,0.9817,0.4692
1194.1,3.8,9.97,9.4255,10.648,1.7576,1.496,0.5468,0.9752,0.47
1210,3.8,9.9635,9.416,10.59,1.7597,1.5067,0.5476,0.9724,0.4703
1201,3.8,9.965,9.419,10.48,1.7625,1.5042,0.5518,0.9761,0.474
1203.7,3.8,9.963,9.452,10.54,1.771,1.502,0.5504,0.9743,0.474
1220,3.8,9.9685,9.364,10.73,1.7815,1.51,0.5487,0.9723,0.471
1218.6,3.8,9.955,9.413,10.58,1.779,1.5202,0.5474,0.9685,0.4695
1213,3.8,10.01,9.303,10.6,1.7724,1.4982,0.5485,0.9789,0.4704
1210,3.8,10.075,9.243,10.5487,1.7712,1.492,0.551,0.9817,0.4748
1210,3.8,10.254,9.193,10.59,1.7783,1.488,0.5464,0.9839,0.4707
1220.3,3.8,10.35,9.243,10.68,1.782,1.491,0.5447,0.9822,0.4697
1232,3.8,10.225,9.268,10.69,1.7808,1.4918,0.5445,0.9815,0.4708
1235,3.8,10.255,9.3053,10.59,1.7838,1.4933,0.5445,0.9797,0.4702
1228.6,3.8,10.149,9.371,10.57,1.7845,1.5029,0.5443,0.9755,0.4703
1227.9,3.8,10.165,9.304,10.55,1.779,1.5008,0.544,0.9772,0.4706
1227.7,3.8,10.212,9.274,10.535,1.778,1.4758,0.5429,0.9879,0.4698
1227.5,3.8,10.162,9.219,10.42,1.7887,1.4793,0.5422,0.9859,0.471
1230.4,3.8,10.11,9.221,10.4275,1.7867,1.4836,0.5442,0.9842,0.4743
1230.4,3.8,10.131,9.198,10.395,1.7848,1.4794,0.5465,0.9871,0.4777
1232.4,3.8,10.186,9.258,10.433,1.7827,1.4893,0.5461,0.9821,0.4784
1240.7,3.8,10.216,9.275,10.524,1.7922,1.49,0.5497,0.9816,0.4844
1254,3.8,10.163,9.353,10.53,1.7885,1.4959,0.547,0.9796,0.482
1246.5,3.8,10.2,9.29,10.48,1.786,1.4837,0.5485,0.9868,0.4809
1260.3,3.8,10.158,9.246,10.4475,1.7935,1.486,0.5485,0.9854,0.4807
1260.15,3.8,10.11275,9.2435,10.44625,1.7985,1.4909,0.5476,0.9832,0.4801
1260,3.8,10.0675,9.241,10.445,1.8035,1.4958,0.5467,0.981,0.4795
1246.9,3.8,10.07,9.242,10.412,1.789,1.4924,0.5487,0.9824,0.4808
1249,3.8,10,9.3825,10.3,1.785,1.5119,0.55,0.9718,0.4812
1244,3.8,9.99,9.384,10.38,1.7913,1.514,0.5498,0.9708,0.4811
1240,3.8,9.947,9.335,10.22,1.7834,1.511,0.553,0.9732,0.4837
1250,3.8,9.9785,9.3445,10.18,1.7829,1.5015,0.5527,0.9782,0.4847
1231.9,3.8,10.017,9.385,10.217,1.7797,1.5004,0.5526,0.9772,0.4841
1231.9,3.8,9.947,9.37,10.13,1.784,1.5062,0.555,0.9742,0.4857
1231.6,3.8,9.975,9.3405,10.12,1.775,1.5014,0.5545,0.9767,0.4868
1233.5,3.8,10.014,9.242,10.0575,1.7766,1.4882,0.5585,0.9843,0.4893
1227.4,3.8,10.15,9.2505,10.08,1.7675,1.487,0.5561,0.9851,0.4853
1234,3.8,10.216,9.218,10.1,1.772,1.4893,0.5528,0.9835,0.4825
1224,3.8,10.15,9.1885,10,1.7672,1.4805,0.5548,0.9881,0.4856
1225.8,3.8,10.2,9.13,9.981,1.763,1.4673,0.5595,0.9971,0.492
1223,3.8,10.198,9.165,9.92,1.7635,1.47,0.561,0.9953,0.4966
1230,3.8,10.212,9.146,9.93,1.7581,1.4635,0.5615,0.9994,0.4962
1229,3.8,10.17,9.137,9.91,1.7673,1.4663,0.5615,0.9974,0.4951
1212.2,3.8,10.25,9.0515,9.79,1.764,1.4506,0.566,1.0092,0.4993
1202,3.8,10.32,8.9708,9.79,1.759,1.4434,0.5658,1.0139,0.498
1201.25,3.8,10.331,8.9794,9.805,1.7615,1.44495,0.5634,1.0122,0.49625
1200.5,3.8,10.342,8.988,9.82,1.764,1.4465,0.561,1.0105,0.4945
1197.2,3.8,10.266,9.015,9.827,1.7663,1.4577,0.5598,1.006,0.4956
1206.7,3.8,10.214,9.053,9.71,1.7618,1.4615,0.5626,1.0034,0.4995
1203.3,3.8,10.25,9.01,9.65,1.763,1.4542,0.5628,1.0082,0.4998
1212,3.8,10.1725,8.989,9.589,1.7648,1.4555,0.5635,1.0083,0.4975
1203.5,3.8,10.1715,8.997,9.59,1.7675,1.4527,0.5583,1.0107,0.4962
1211.5,3.8,10.145,9.05,9.68,1.7697,1.4649,0.5595,1.0024,0.4974
1218,3.8,10.092,9.018,9.63,1.7705,1.4714,0.5622,0.9984,0.503
1206.9,3.8,10.124,9.0395,9.475,1.77,1.4768,0.5638,0.9966,0.5025
1215,3.8,10.1145,9.097,9.275,1.7735,1.4839,0.559,0.9937,0.4993
1201.1,3.8,10.159,9.1365,9.25,1.7643,1.4878,0.5597,0.9913,0.495
1197.4,3.8,10.154,9.169,9.27,1.764,1.4895,0.5563,0.9895,0.4925
1198.05,3.8,10.154,9.1225,9.275,1.7656,1.48775,0.5582,0.99135,0.49525
1198.7,3.8,10.154,9.076,9.28,1.7672,1.486,0.5601,0.9932,0.498
1220,3.8,10.1025,9.0745,9.2425,1.7723,1.4845,0.5591,0.9927,0.4975
1217.6,3.8,10.152,9.064,9.27,1.7715,1.4767,0.5589,0.9968,0.4986
1216.5,3.8,10.2225,9.075,9.1525,1.771,1.4729,0.5604,0.9999,0.5007
1221,3.8,10.263,9.07,9.125,1.776,1.4731,0.5614,0.9989,0.5018
1221,3.8,10.268,9.009,9.2,1.7672,1.4602,0.5603,1.0081,0.5015
1209,3.8,10.175,9.012,9.12,1.7653,1.4595,0.563,1.0088,0.5036
1213,3.8,10.172,9.03,8.98,1.7663,1.4628,0.5595,1.0073,0.5033
1208,3.8,10.18,9.021,8.87,1.763,1.4621,0.5607,1.0083,0.5022
1208,3.8,10.2025,8.9445,8.915,1.76,1.449,0.5651,1.0189,0.5095
1205,3.8,10.19,8.943,8.7375,1.748,1.4421,0.5646,1.0226,0.5136
1203.4,3.8,10.195,8.902,8.74,1.749,1.4448,0.566,1.021,0.5135
1204,3.8,10.2075,8.8695,9.11,1.748,1.4323,0.566,1.0267,0.5174
1202,3.8,10.24,8.868,8.95,1.7457,1.4296,0.565,1.0254,0.5143
1202,3.8,10.192,8.916,9,1.745,1.431,0.565,1.0217,0.5165
1205,3.8,10.195,8.865,8.925,1.7442,1.425,0.5618,1.0268,0.515
1201,3.8,10.19,8.93,8.84,1.7408,1.425,0.5613,1.0217,0.5152
1200.9,3.8,10.205,8.864,8.88,1.738,1.4097,0.563,1.0305,0.5167
1200.45,3.8,10.2295,8.8375,8.87,1.7385,1.4068,0.56285,1.03315,0.51705
1200,3.8,10.254,8.811,8.86,1.739,1.4039,0.5627,1.0358,0.5174
1198,3.8,10.323,8.813,8.7325,1.7355,1.3954,0.5608,1.0411,0.5182
1197.2,3.8,10.3725,8.76,8.67,1.7352,1.3922,0.5636,1.046,0.5255
1186.3,3.8,10.425,8.695,8.585,1.7352,1.3833,0.5625,1.0485,0.5239
1190,3.8,10.354,8.792,8.54,1.7448,1.4015,0.5629,1.0361,0.5222
1197.3,3.8,10.375,8.717,8.44,1.744,1.3975,0.5655,1.0418,0.5246
1189,3.8,10.414,8.677,8.52,1.7372,1.3928,0.5762,1.0469,0.5331
1185,3.8,10.321,8.695,8.6224,1.743,1.3983,0.5753,1.0419,0.5312
1186,3.8,10.368,8.694,8.62,1.739,1.3963,0.5749,1.0447,0.5301
1182,3.8,10.415,8.713,8.57,1.7409,1.3943,0.5765,1.0467,0.5306
1181,3.8,10.468,8.678,8.53,1.7385,1.386,0.582,1.0535,0.5359
1177,3.8,10.54,8.6985,8.665,1.7375,1.3868,0.5833,1.0535,0.5382
1176,3.8,10.534,8.672,8.84,1.7328,1.384,0.5832,1.0571,0.5382
1175,3.8,10.493,8.67,8.7537,1.7342,1.3829,0.5848,1.0576,0.538
1171,3.8,10.51,8.676,8.87,1.7333,1.3828,0.587,1.0569,0.5431
1173.5,3.8,10.582,8.6245,8.88,1.733,1.3678,0.5909,1.066,0.5511
1175.75,3.8,10.63225,8.64025,8.9625,1.73425,1.36825,0.5888,1.06685,0.5474
1178,3.8,10.6825,8.656,9.045,1.7355,1.3687,0.5867,1.0677,0.5437
1176.9,3.8,10.8525,8.623,8.98,1.733,1.3629,0.5862,1.0729,0.5437
1166.1,3.8,10.779,8.6,8.735,1.7308,1.358,0.5908,1.0767,0.5477
1166.1,3.8,10.8375,8.525,8.74,1.731,1.3528,0.5922,1.0825,0.5502
1164.6,3.8,10.8975,8.525,8.75,1.731,1.3554,0.5896,1.0838,0.5492
1173,3.8,10.898,8.533,8.765,1.733,1.356,0.5887,1.0833,0.5472
1173,3.8,10.8675,8.475,8.35,1.74,1.3541,0.591,1.0828,0.5484
1184.5,3.8,10.898,8.49,8.425,1.7473,1.3584,0.5903,1.0801,0.5477
1196.6,3.8,10.986,8.545,8.5701,1.758,1.366,0.5894,1.074,0.5488
1206,3.8,10.955,8.512,8.385,1.7538,1.3653,0.5893,1.0747,0.5489
1199.4,3.8,10.978,8.5245,8.365,1.7582,1.37,0.59,1.0716,0.5492
1203.5,3.8,10.97,8.41,8.358,1.754,1.3559,0.596,1.0834,0.5537
1196.5,3.8,10.887,8.443,8.315,1.7538,1.3618,0.5921,1.0799,0.5517
1197.75,3.8,10.8305,8.4835,8.365,1.75235,1.36815,0.59165,1.07535,0.5512
1199,3.8,10.774,8.524,8.415,1.7509,1.3745,0.5912,1.0708,0.5507
1193,3.8,10.8385,8.477,8.32,1.7506,1.3697,0.5943,1.0744,0.5525
1191.4,3.8,10.9225,8.411,8.12,1.7435,1.356,0.5985,1.0821,0.5577
1194,3.8,10.9825,8.46,8.085,1.7445,1.3618,0.5972,1.0787,0.5582
1187.1,3.8,10.984,8.465,8.1438,1.739,1.3592,0.6057,1.0783,0.5654
1192,3.8,11.064,8.453,8.1,1.7325,1.3538,0.6053,1.0782,0.5657
1186,3.8,11.038,8.421,8.08,1.7355,1.355,0.6075,1.0797,0.5652
1186,3.8,11.0225,8.482,8.02,1.7361,1.3598,0.6054,1.0763,0.562
1184.6,3.8,10.994,8.497,8.005,1.7365,1.3468,0.6136,1.0835,0.561
1197,3.8,11.128,8.425,8.02,1.7365,1.34,0.6137,1.0883,0.5612
1199.2,3.8,11.2,8.378,7.902,1.7325,1.3299,0.6161,1.0967,0.5648
1218,3.8,11.235,8.365,8.04,1.7369,1.3314,0.6142,1.0997,0.5655
1219,3.8,11.11,8.373,7.945,1.7355,1.3338,0.6137,1.1014,0.5612
1243,3.8,11.1066,8.367,7.9025,1.7348,1.3247,0.6157,1.1062,0.5614
1225.8,3.8,11.005,8.449,7.9375,1.7389,1.3316,0.604,1.1028,0.5533
1245,3.8,10.905,8.431,8.01,1.7468,1.3315,0.5959,1.1023,0.5504
1241,3.8,10.8385,8.5,8.155,1.7502,1.349,0.5941,1.087,0.5467
1241.5,3.8,10.838,8.577,8.2288,1.7592,1.369,0.5966,1.0725,0.5511
1249.8,3.8,10.865,8.668,8.2575,1.7658,1.3845,0.5922,1.0606,0.5486
1254.8,3.8,10.795,8.699,8.21,1.767,1.3843,0.5927,1.0624,0.548
1258,3.8,10.855,8.675,8.17,1.7724,1.3903,0.5913,1.059,0.5505
1245,3.8,10.865,8.639,8.13,1.765,1.387,0.5935,1.0613,0.5535
1254,3.8,10.7575,8.703,8.195,1.7713,1.4,0.5905,1.0545,0.5482
1251.1,3.8,10.823,8.675,8.145,1.7658,1.3847,0.5947,1.0644,0.5514
1251,3.8,10.7175,8.673,8.025,1.7667,1.3805,0.5968,1.0673,0.5512
1244.4,3.8,10.769,8.653,7.945,1.77,1.3827,0.5972,1.0677,0.5468
1247,3.8,10.762,8.6425,7.955,1.768,1.3807,0.6,1.0708,0.5495
1260,3.8,10.661,8.561,7.985,1.773,1.3724,0.6003,1.0762,0.5497
1252,3.8,10.782,8.4735,7.9,1.7645,1.3538,0.6045,1.09,0.5538
1262,3.8,10.732,8.483,7.88,1.7714,1.3537,0.6045,1.0904,0.5545
1255.4,3.8,10.673,8.585,7.97,1.772,1.3794,0.5997,1.0765,0.5497
1256,3.8,10.666,8.565,7.89,1.779,1.3809,0.5996,1.0736,0.5483
1258,3.8,10.679,8.5927,7.94,1.7763,1.3875,0.601,1.0711,0.5416
1257.8,3.8,10.684,8.6425,8.045,1.7829,1.3995,0.597,1.0621,0.5375
1253.5,3.8,10.737,8.568,8.0225,1.7838,1.3905,0.6004,1.0684,0.5448
1246,3.8,10.77,8.527,7.9237,1.7817,1.3858,0.6032,1.0722,0.5456
1230,3.8,10.755,8.475,7.7825,1.7755,1.3846,0.6061,1.0803,0.5464
1229.6,3.8,10.7075,8.49,7.79,1.7807,1.3933,0.6047,1.0751,0.545
1225,3.8,10.615,8.473,7.8225,1.7811,1.3895,0.6031,1.0773,0.5467
