ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE
918,3.075,7.77,7.553,4.672,1.532,1.4561,0.7356,1.24512537763992,0.6443
916.1,3.09125,7.7575,7.5677,4.67225,1.53775,1.4588,0.736,1.24313444066195,0.6451
914.2,3.1075,7.745,7.5824,4.6725,1.5435,1.4615,0.7364,1.24114350368397,0.6459
917,3.15,7.742,7.5695,4.673,1.5495,1.458,0.7325,1.24285441609846,0.6445
918,3.195,7.748,7.568,4.688,1.548,1.4558,0.7386,1.24316549617043,0.645
918,3.2475,7.745,7.655,4.6975,1.5555,1.4755,0.7325,1.23116838694244,0.6412
927,3.3325,7.725,7.612,4.694,1.5675,1.4732,0.7295,1.23681723386126,0.641
930,3.339,7.7172,7.6978,4.698,1.578,1.4885,0.723,1.22480928312027,0.6365
919,3.4,7.724,7.7078,4.715,1.589,1.4793,0.706,1.22341997760961,0.6255
923,3.345,7.756,7.615,4.728,1.5745,1.4685,0.7015,1.23635765710582,0.6225
932,3.3905,7.84,7.589,4.7325,1.581,1.4636,0.7,1.23990567378017,0.621
945,3.4,8.14,7.576,4.784,1.5777,1.4552,0.691,1.24128178066654,0.6233
965,3.434,8.35,7.533,4.8265,1.5725,1.4115,0.7025,1.24681082929909,0.627
970,3.3925,8.15,7.5311,4.811,1.579,1.4178,0.704,1.24714967127503,0.6265
965,3.449,8.3,7.505,4.83,1.581,1.4059,0.7008,1.25091694949521,0.6235
976,3.234,8.23,7.555,4.788,1.5445,1.4134,0.712,1.24373938238987,0.6328
965,3.285,8.25,7.529,4.8295,1.561,1.407,0.7045,1.24720396811486,0.6268
974,3.29,8.18,7.52,4.818,1.571,1.4073,0.703,1.24857628061582,0.625
975.3,3.3,8.38,7.487,4.8255,1.574,1.405,0.6978,1.25285079680976,0.6245
985,3.3025,8.38,7.458,4.836,1.5705,1.3958,0.694,1.25691187161733,0.624
999,3.315,8.28,7.481,4.826,1.5725,1.3912,0.697,1.25374214000417,0.6275
995.5,3.31375,8.33,7.4895,4.8315,1.5755,1.39435,0.6966,1.25243608389607,0.6265
992,3.3125,8.38,7.498,4.837,1.5785,1.3975,0.6962,1.25113002778798,0.6255
992,3.3225,8.33,7.538,4.8575,1.5845,1.4065,0.696,1.2457418068992,0.6245
1006,3.34,8.25,7.541,4.8565,1.583,1.4096,0.6989,1.245325015246,0.6274
1020,3.415,8.25,7.56,4.856,1.59,1.4035,0.699,1.24263399265308,0.628
1040,3.49,8.285,7.5679,4.859,1.602,1.4043,0.6892,1.24163056852458,0.622
1139,3.5325,8.237,7.56,4.854,1.6015,1.4083,0.6882,1.24269817030643,0.6207
1060,3.4225,8.192,7.5919,4.8335,1.5815,1.4182,0.699,1.23833688114614,0.6255
1085,3.45,8.24,7.578,4.839,1.592,1.4055,0.6938,1.24025090176505,0.6233
1122,3.4925,8.244,7.6268,4.8525,1.597,1.4073,0.6865,1.23367432010869,0.619
1110,3.5125,8.215,7.732,4.8545,1.597,1.418,0.6835,1.21920857399444,0.6182
1139.75,3.5125,8.215,7.72725,4.85625,1.596,1.42175,0.683,1.21970804997862,0.6173
1169.5,3.5125,8.215,7.7225,4.858,1.595,1.4255,0.6825,1.22020752596279,0.6164
1188,3.57,8.19,7.8093,4.8649,1.601,1.433,0.677,1.20827670943703,0.6092
1228,3.598,8.16,7.7828,4.86,1.6085,1.4331,0.677,1.21197548308116,0.6067
1199,3.66,8.132,7.764,4.858,1.6135,1.4285,0.676,1.21453817457361,0.605
1163,3.73,8.105,7.7722,4.866,1.614,1.4308,0.6732,1.21368774349497,0.6027
1233,4,8.15,7.83,4.876,1.617,1.439,0.6712,1.20591426825682,0.6
1342.4,3.65,8.115,7.8019,4.869,1.6165,1.4525,0.6705,1.21005995256939,0.5986
1465.7,3.662,8.109,7.8326,4.8825,1.626,1.457,0.6675,1.20567498636542,0.597
1565.9,3.662,8.14,7.8128,4.893,1.6195,1.446,0.6665,1.2084964066952,0.6
1637.95,3.775,8.21,7.7666,4.8975,1.633,1.4335,0.666,1.21479306061305,0.5955
1710,3.82,8.17,7.7685,4.893,1.658,1.4333,0.663,1.21463819457672,0.596
1563.9,3.875,8.14,7.7572,4.8905,1.682,1.4305,0.6566,1.21656750466255,0.591
1430,3.873,8.09,7.7875,4.888,1.706,1.4415,0.649,1.21237288375105,0.579
1485,3.815,8.081,7.7405,4.8615,1.683,1.4343,0.6605,1.21851541447588,0.587
1485,3.7875,8.07,7.7757,4.8595,1.669,1.4394,0.6565,1.21335123442407,0.5843
1580,3.83,8.127,7.76,4.8665,1.6715,1.4278,0.653,1.21542762057532,0.581
1710,3.82,8.118,7.7785,4.857,1.6755,1.438,0.6523,1.2130007354731,0.5788
1960,3.845,8.13,7.7753,4.857,1.6725,1.4338,0.6565,1.21331054016447,0.5835
1835,3.9,8.1925,7.769,4.858,1.668,1.4346,0.6558,1.21419649891174,0.5848
1506,3.845,8.145,7.7708,4.863,1.673,1.4342,0.6559,1.21390363881758,0.584
1450,3.895,8.084,7.8455,4.8625,1.67,1.4474,0.654,1.20355119771435,0.5835
1640,3.898,8.067,7.9093,4.863,1.677,1.4558,0.6517,1.19496767097603,0.5823
1695,3.885,8.07,7.94,4.866,1.686,1.461,0.6515,1.1909699099473,0.5803
1790,4.155,8.042,8.0217,4.9145,1.721,1.4803,0.6418,1.17982679167111,0.569
1748,4.465,8.04,8.055,4.943,1.759,1.479,0.6347,1.17518970804507,0.5655
1753,4.52,8.065,8.0559,4.9315,1.739,1.4765,0.6415,1.17524008946828,0.5692
1790,4.73,8.077,8.0374,4.948,1.784,1.4732,0.6353,1.17810766112353,0.5668
1812,4.605,8.09,7.9885,4.9315,1.774,1.4763,0.647,1.18479226305993,0.5725
1739,4.66,8.3,8.0425,4.99,1.796,1.4744,0.643,1.17717021501614,0.5705
1765,4.6,8.17,8.03,4.975,1.772,1.4765,0.6465,1.17864157927059,0.573
1670,4.35,8.2,8.0256,4.945,1.742,1.4828,0.647,1.1793470009202,0.577
1608,4.2995,8.3,8.0285,4.978,1.763,1.4933,0.6503,1.17894624157722,0.5787
1624,4.1921,8.202,8.0233,4.976,1.734,1.4975,0.6614,1.17958952800362,0.5883
1635.5,4.21105,8.211,8.0583,4.9775,1.743,1.4979,0.66355,1.17479755413503,0.58665
1647,4.23,8.22,8.0933,4.979,1.752,1.4983,0.6657,1.17000558026643,0.585
1725,4.3795,8.28,8.0493,4.9645,1.754,1.4861,0.6595,1.17613349929909,0.5815
1760,4.53,8.33,7.962,4.9425,1.762,1.4701,0.6596,1.18776155071092,0.5822
1556,4.13,8.447,8.072,4.9275,1.709,1.473,0.6868,1.17273162219693,0.5915
1620,3.9895,8.4325,8.0825,4.9345,1.68,1.4689,0.6825,1.17118086344094,0.5863
1608,3.99,8.409,8.0255,4.918,1.685,1.459,0.6812,1.17876404179911,0.5875
1608,3.995,8.422,8.0125,4.911,1.663,1.4473,0.6765,1.18064501289187,0.5863
1557,3.82,8.422,8.038,4.904,1.652,1.4556,0.67,1.17725203169753,0.5823
1558,3.8305,8.452,8.1285,4.915,1.6585,1.4653,0.6725,1.16497189477644,0.5837
1586,3.59,8.501,8.1209,4.929,1.628,1.465,0.6814,1.16625880651661,0.591
1603,3.5895,8.457,8.1335,4.927,1.6215,1.4633,0.678,1.16430719159268,0.587
1629,3.78,8.455,8.077,4.932,1.6535,1.451,0.677,1.17203910869672,0.5842
1623,3.845,8.47,8.1125,4.939,1.661,1.4655,0.6725,1.1671798088077,0.5824
1657.5,3.8575,8.471,8.12825,4.94075,1.663,1.4693,0.6705,1.16502695033777,0.58095
1692,3.87,8.472,8.144,4.9425,1.665,1.4731,0.6685,1.16287409186783,0.5795
1711,3.8,8.55,8.104,4.946,1.647,1.469,0.6702,1.16825375573617,0.5793
1674,3.73,8.545,8.0969,4.943,1.629,1.4715,0.676,1.1693257328532,0.5852
1661,3.78,8.59,8.089,4.951,1.648,1.4705,0.6716,1.17040617016572,0.5786
1663,3.84,8.63,8.01,4.944,1.654,1.4506,0.667,1.18115278340292,0.576
1656,3.75,8.61,8.025,4.937,1.6335,1.4539,0.6659,1.17910091396362,0.5762
1644,3.74,8.583,8.059,4.9465,1.6345,1.4653,0.6655,1.17431523682915,0.5761
1656,3.7075,8.564,8.039,4.95,1.624,1.4655,0.6713,1.17717086103448,0.5772
1635,3.705,8.5275,8.004,4.9435,1.62,1.4662,0.6785,1.18202273404621,0.584
1553,3.62,8.497,7.988,4.931,1.614,1.466,0.6825,1.18420497701613,0.5875
1559.5,3.81,8.53,7.975,4.931,1.639,1.4694,0.6796,1.18589769365905,0.587
1566,3.815,8.587,7.99,4.931,1.641,1.477,0.6745,1.18395278697534,0.583
1605,3.96,8.613,8.045,4.949,1.651,1.4841,0.668,1.17633299921787,0.579
1638,3.955,8.6025,8.06,4.985,1.6505,1.4939,0.6675,1.17451644784087,0.578
1616,3.99,8.624,8.007,4.98,1.6555,1.495,0.6672,1.18179633609797,0.5796
1597,3.91,8.6275,8.0177,4.9765,1.642,1.4915,0.668,1.18027341186467,0.5832
1582,3.94,8.666,8.005,4.987,1.6365,1.493,0.667,1.18185385392358,0.5785
1551,3.855,8.575,7.9938,4.9875,1.622,1.4853,0.6695,1.183208786115,0.5807
1528,3.73,8.56,7.91,4.974,1.598,1.4765,0.676,1.19464365854843,0.5862
1466,3.79,8.587,7.952,4.971,1.605,1.4825,0.67,1.188757233281,0.5825
1470,3.8,8.5925,7.9395,4.9685,1.6095,1.4788,0.6715,1.1903633706075,0.5823
1487,3.655,8.5925,7.975,4.978,1.607,1.4905,0.6637,1.18549979220826,0.566
1476,3.67,8.5675,7.986,4.974,1.612,1.4939,0.6626,1.18404215156523,0.5633
1451,3.65,8.581,7.977,4.982,1.6045,1.4993,0.6645,1.18536740045373,0.563
1371,3.545,8.535,7.9328,4.981,1.602,1.4902,0.6655,1.19119366030938,0.561
1379,3.655,8.535,7.925,4.976,1.611,1.49,0.6716,1.19236074955705,0.5622
1391,3.59,8.525,7.926,4.971,1.6,1.494,0.67,1.19224749006733,0.5626
1398,3.595,8.519,7.88,4.9745,1.599,1.4895,0.6742,1.1983794455478,0.5637
1380.5,3.5675,8.525,7.875,4.977,1.59,1.4972,0.674,1.19914897223204,0.562
1385,3.64,8.536,7.931,5.02,1.607,1.521,0.6631,1.19147582412797,0.5536
1386,3.66,8.52,7.998,5.036,1.616,1.5245,0.6613,1.18218886975772,0.5524
1392,3.7025,8.6,8.033,5.047,1.6225,1.5335,0.659,1.17737978184823,0.549
1416,3.7525,8.521,8.023,5.041,1.6255,1.5317,0.6553,1.17892953149227,0.5493
1449,3.79,8.551,8.0085,5.0405,1.6315,1.5302,0.6568,1.18113655744278,0.5512
1437,3.72,8.5325,8.0075,5.05,1.609,1.5297,0.6597,1.18109792981956,0.5485
1416,3.72,8.514,7.913,5.045,1.603,1.5104,0.657,1.19417338551744,0.548
1393,3.62,8.497,7.8786,5.0375,1.595,1.5127,0.655,1.19886274775939,0.5525
1387,3.67,8.488,7.876,5.039,1.586,1.5156,0.6565,1.19923894197794,0.5536
1405,3.65,8.515,7.862,5.039,1.592,1.5123,0.6553,1.20129093244844,0.552
1400,3.69,8.491,7.772,5.033,1.594,1.4925,0.647,1.21342673016509,0.549
