jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj Close,ind_Open
17376.920,1134.591,1122.466,14713.200,14273.100,607.490,609.360,520.923,521.097,3927.85
17204.699,1136.429,1119.817,14242.900,14072.900,618.220,613.000,533.938,534.81,4093.92
17306.391,1116.299,1117.928,14147.600,13836.600,619.670,620.680,534.99,528.903,4061.51
17331.369,1119.108,1125.782,13785.800,13384.200,621.500,604.740,529.1,518.9,4015.55
17707.490,1131.400,1150.307,13317.200,13567.300,598.130,579.250,518.109,517.076,4082.66
17478.420,1155.422,1176.489,13475.700,13601.000,577.870,585.490,517.091,520.67,4102.29
17294.510,1183.744,1187.368,13473.700,12970.900,584.590,565.640,520.685,514.156,4123.8
17210.090,1190.495,1191.870,13052.100,12403.100,559.770,566.850,514.607,514.953,4157.69
17687.609,1193.701,1177.520,12242.100,11637.800,569.470,601.320,514.809,505.218,4118.67
17151.551,1178.983,1173.364,11083.200,10426.300,602.990,604.060,505.233,494.122,4073.42
17363.740,1172.884,1178.306,10226.800,11144.300,596.330,570.910,493.989,490.382,3992.4
17038.359,1183.647,1235.827,10902.400,10498.200,549.310,530.470,490.544,490.105,3969.75
16312.690,1239.585,1177.924,9649.100,9059.900,522.390,495.280,487.939,447.983,3969.75
16857.039,1168.225,1184.086,10130.500,10765.300,500.050,506.640,453.798,472.037,3803.09
16364.940,1189.265,1174.846,10444.500,10362.900,499.650,485.080,472.125,502.856,3803.09
1185.065,1181.162,1180.854,10901.900,11255.100,497.110,511.660,500.801,501.699,3814.75
16500.100,1180.865,1184.700,11543.900,10780.800,514.080,542.130,502.675,494.834,3799.55
16448.051,1186.095,1194.038,10663.200,10681.800,547.330,555.740,494.856,490.834,3805.14
16533.869,1198.658,1181.123,10777.500,10412.600,555.210,553.870,490.986,478.904,3744.39
15836.360,1181.776,1195.141,10346.800,10104.500,554.380,515.630,475.614,466.102,3761.16
15697.200,1199.368,1185.784,9920.600,9992.800,501.450,525.320,466.109,462.678,3733.31
15867.230,1183.418,1186.634,10006.200,10004.100,521.620,522.110,462.37,448.142,3724.85
15427.270,1169.704,1185.024,9522.000,9720.800,521.460,519.470,449.788,437.934,3601.3
15082.520,1187.351,1197.832,9894.100,9957.300,519.140,520.010,438.241,436.83,3570.34
16283.320,1210.677,1191.333,10180.700,10419.800,517.650,496.980,437.509,439.525,3552.43
16726.570,1190.261,1183.349,10501.900,10245.200,489.690,494.660,439.629,434.196,3573.87
15842.460,1185.103,1181.627,10103.100,10154.400,494.740,502.590,434.214,415.642,3479.07
16308.490,1182.739,1172.427,10117.300,10050.700,504.940,488.410,415.742,396.118,3394.27
16721.580,1168.968,1158.555,10308.000,10548.200,493.430,506.070,397.114,391.246,3450.75
1144.916,1150.416,1124.941,10647.300,10586.400,477.090,450.640,391.637,410.194,3512.82
15867.530,1120.864,1125.528,10392.500,10325.600,441.660,439.590,409.237,395.667,3400.75
16045.550,1126.596,1143.818,10395.300,10590.100,436.450,438.700,395.913,398.527,3516.05
16603.199,1141.770,1122.516,10621.000,10583.100,439.050,433.100,398.628,401.696,3530.68
16636.260,1117.569,1139.628,10441.200,10526.900,430.250,411.910,399.965,400.15,3616.47
17007.590,1137.588,1133.087,10510.800,10750.900,405.520,393.160,401.302,398.604,3536.07
16910.289,1133.590,1130.167,10881.700,11216.400,389.120,376.870,398.466,394.271,3566.53
16585.510,1129.777,1122.546,11193.800,11207.600,369.010,379.310,393.407,389.67,3559.88
16306.790,1121.803,1135.873,11207.500,11474.900,383.060,405.810,389.682,401.914,3530.31
16424.480,1139.477,1136.204,11590.000,11527.600,417.430,434.120,402.076,414.766,3526.02
16131.570,1140.547,1139.322,11613.000,11722.900,432.780,414.830,415.808,423.6,3479.41
16686.510,1139.806,1148.171,11704.400,11490.700,410.130,388.000,424.139,425.483,3469.92
16478.119,1150.476,1157.842,11419.700,11022.400,396.330,399.850,424.979,415.925,3364.51
16050.150,1159.054,1159.169,10765.900,10420.200,398.060,377.370,415.498,396.096,3336.33
15904.300,1160.221,1153.840,10219.600,10614.700,362.650,350.680,395.32,365.842,3340.15
15909.390,1155.720,1168.026,10599.400,10435.200,367.040,385.800,365.417,339.526,3321.55
15985.210,1170.462,1174.802,10504.800,10346.400,393.920,404.260,340.745,356.374,3374.58
16541.061,1169.644,1146.522,10463.800,10692.700,404.480,418.490,360.198,368.674,3458.27
16161.640,1142.100,1154.166,10663.300,10754.100,410.295,407.755,372.47,378.375,3481.95
15314.890,1154.703,1160.768,10573.500,10405.800,416.110,397.020,377.961,378.785,3463.46
14799.400,1162.682,1169.007,10335.700,10172.500,402.120,396.060,378.796,385.838,3553.68
14862.190,1171.902,1171.254,10240.700,10368.100,391.270,366.360,385.665,397.019,3639.98
14924.980,1171.735,1169.664,10288.000,10342.400,361.320,351.450,397.305,396.519,3596.07
14802.600,1187.752,1191.919,10319.150,10422.700,359.650,375.150,397.048,397.261,3620.92
14775.220,1196.297,1186.606,10350.300,10503.000,374.365,385.820,396.79,398.002,3648.65
15258.740,1186.139,1181.143,10593.000,10755.200,374.365,385.820,399.508,401.7,3703.84
15107.790,1182.253,1194.102,10831.900,10722.800,374.365,385.820,404.759,406.259,3630.48
14956.840,1200.948,1220.473,10673.900,10303.500,389.080,396.490,410.011,410.818,3745.19
14896.400,1223.730,1233.620,10212.400,10135.500,396.840,406.340,409.817,402.253,3724.43
15028.170,1233.956,1244.070,10084.200,9538.600,407.690,409.420,401.76,394.227,3715.38
15019.180,1243.121,1237.163,9553.400,9254.500,409.880,423.960,393.914,347.098,3671.69
14995.100,1233.701,1239.901,8971.700,8894.600,420.770,414.000,346.47,342.96,3579.24
14664.440,1242.210,1226.966,8214.300,8121.100,447.070,456.200,342.97,350.227,3482.98
14755.940,1211.883,1167.647,8333.700,8720.000,456.000,463.740,356.422,382.126,3427.15
15121.980,1170.346,1202.215,8913.500,9226.600,466.000,475.130,382.927,403.969,3431.72
15584.215,1210.421,1215.431,9094.100,8579.000,479.550,505.980,406.428,387.232,3390.37
16046.450,1215.820,1213.962,8668.500,8900.000,512.270,488.100,388.665,413.908,3373.1
16262.040,1215.408,1213.129,9217.500,9400.400,502.310,528.770,416.443,439.015,3383.89
16366.530,1211.276,1203.715,9328.200,9433.700,529.250,533.550,437.494,448.026,3487.86
16684.420,1201.988,1200.203,9558.700,9246.800,529.820,506.660,451.79,465.989,3452.36
16405.689,1200.521,1204.430,9068.500,8883.700,503.990,483.990,467.228,443.516,3408.67
16776.820,1204.430,1204.430,9800.000,10578.600,556.580,543.680,486.023,554.091,3288.78
17022.980,1204.430,1204.430,10705.400,10525.500,547.700,550.210,555.249,536.774,3360.4
16882.619,1204.430,1204.430,10420.800,10302.600,552.970,547.280,536.574,519.914,3359.24
17003.301,1204.430,1204.430,10228.400,10442.100,546.740,528.050,519.929,513.474,3339.02
17040.061,1204.430,1204.430,10580.500,10485.900,539.310,540.450,514.909,535.413,3367.77
17205.000,1257.995,1248.040,10530.600,10873.200,543.080,554.240,536.036,529.24,3359.47
17205.090,1248.596,1236.513,10908.300,10859.700,554.830,541.770,524.752,517.686,3345.18
17190.010,1234.181,1250.238,11101.700,10793.400,539.220,520.140,517.29,487.595,3330.11
17174.930,1253.385,1246.295,10748.800,10620.000,516.500,512.490,487.494,442.276,3289.45
16791.010,1246.733,1245.911,10510.600,10274.600,519.470,506.200,445.805,448.145,3306.39
16775.520,1246.796,1236.236,10220.300,10124.000,482.930,476.980,458.272,457.694,3384.71
16790.711,1234.837,1238.500,10169.300,10232.000,475.880,471.730,459.392,472.195,3459.82
16613.891,1239.633,1229.831,10333.000,10671.000,475.160,487.730,472.216,472.665,3408.75
16616.480,1229.809,1232.584,11002.100,10581.300,488.560,513.450,473.247,496.237,3414.59
16756.240,1234.601,1226.020,10491.800,10600.000,518.710,522.130,496.527,495.217,3444.51
16609.490,1217.859,1208.603,10796.000,10685.200,537.550,543.060,494.821,505.02,3426.88
