usvix_Adj_Close,ussp_Open,ussp_Adj_Close,eurestx_Open,eurestx_Adj_Close,blx_Open,blx_Adj_Close,fnc_Open,fnc_Adj_Close,grm_Open
22.31,973.84,970.62,2550.22,2550.22,2490.1,2465.9,3002.2,2960.7,4241.31
20.26,966.98,968.1,2582.03,2582.03,2446.9,2454.2,2969.9,3002.9,4177.33
19.99,968.1,970.28,2584.02,2584.02,2448.2,2458,2994.6,3002.5,4247.51
20.05,970.28,965.72,2567.53,2567.53,2435.4,2422.4,2976.6,2992.2,4182.33
20.53,965.72,955.25,2544.6,2544.6,2416,2430.1,2960.9,2992.9,4168.23
21.69,955.23,944.16,2508.15,2508.15,2400.8,2389.5,2954.8,2958,4098.22
20.72,944.16,955.61,2502.42,2502.42,2371.2,2381.3,2937.7,2946.7,4046.37
19.53,955.61,972.28,2546.57,2546.57,2399.4,2401,2955.1,2989.9,4088.82
19.86,972.28,968.49,2537.55,2537.55,2418.7,2391.9,3002.2,2958.1,4203.46
22.99,968.49,950.69,2444.06,2444.06,2358.1,2328.4,2890.5,2856.9,4102.24
23.17,950.69,941.64,2450.3,2450.3,2339.2,2305.1,2865.9,2849,4042.07
31.12,941.64,876.99,2371.39,2371.39,2274.3,2240.1,2811.2,2769.6,3935.73
31.22,876.99,921.85,2241.21,2241.21,2079,2214.2,2478.5,2651.3,3669.45
33.75,921.85,919.16,2370.94,2370.94,2255.9,2312.8,2792.5,2818,3797.58
38.2,919.16,903.68,2330.44,2330.44,2280.5,2289.2,2754.8,2739.5,3732.87
32.09,914.62,938.99,2392.17,2392.17,2365,2384.9,2746,2788,3802.73
32.24,938.99,940.76,2368.23,2368.23,2382.1,2360.6,2773.1,2774.9,3869.08
32.18,940.76,942.76,2386.78,2386.78,2376.1,2369.7,2810.7,2822.4,3806.82
32.57,942.76,938.03,2362.16,2362.16,2364.1,2332.5,2773.9,2781.8,3833.93
36.27,938.03,927.51,2300.25,2300.25,2295.6,2267.1,2733.4,2707.1,3775.83
36.63,927.51,921.13,2319.53,2319.53,2291.3,2280.8,2733.4,2707.1,3723.25
36.38,921.13,923.78,2309.75,2309.75,2288.05,2292.6,2691.6,2700.7,3727.86
36.64,905.96,916.66,2303.29,2303.29,2284.8,2304.4,2691.6,2700.7,3699.44
33.66,916.66,928.35,2313.77,2313.77,2328.7,2316.4,2735.9,2698.9,3724.6
31.58,928.35,946.2,2369.83,2369.83,2364.6,2368,2772.1,2773,3739.71
31.55,946.2,938.23,2382.46,2382.46,2360.3,2378.7,2787.2,2782.6,3826.15
29.93,938.23,944.59,2369.87,2369.87,2365.7,2372.7,2753,2790.6,3801.04
27.32,944.59,958.98,2418.67,2418.67,2382.3,2395.6,2801.3,2821.2,3891.18
26.65,958.98,963.09,2448.63,2448.63,2419.6,2419.4,2846.1,2861.7,3960.91
29.8,963.09,946.67,2385.77,2385.77,2399.8,2357.4,2837.2,2802.5,3918.98
28.95,946.67,950.82,2386.28,2386.28,2369.2,2367.4,2799.7,2786.3,3818.2
28.95,950.82,951.64,2412.67,2412.67,2393.6,2386.4,2813.7,2811.7,3880.22
28.19,951.23,953.52,2423.99,2423.99,2403.2,2395.1,2836.7,2829,3953.39
27.43,951.64,955.4,2423.74,2423.74,2394.5,2392.8,2814.6,2854.4,3966.02
26.01,955.4,974.77,2482.43,2482.43,2419,2454.4,2878.4,2918.5,4000.04
25.66,974.78,971.68,2489.56,2489.56,2460.8,2462.7,2921,2913.1,4140.28
23.92,971.68,976.77,2475.79,2475.79,2456.3,2472.7,2905.6,2902.4,4087.79
23.84,976.77,973.1,2498.54,2498.54,2485.7,2484.2,2919.1,2914.5,4089.35
22.65,973.1,983.79,2503.93,2503.93,2487.3,2503.7,2908.9,2910.1,4153.75
23.22,983.79,982.37,2525.86,2525.86,2514.9,2511.7,2930.6,2932.5,4217.27
23.36,982.37,975.78,2521.96,2521.96,2498.3,2487.8,2934.2,2959.4,4212.94
24.55,975.78,969.79,2481.39,2481.39,2481.5,2471.4,2943.7,2932.2,4174.07
27.63,969.79,954.94,2420.75,2420.75,2446.3,2433.3,2866.5,2828.5,4064.26
27.92,954.94,953.39,2432.06,2432.06,2435.6,2434.1,2848.2,2830.3,4051.54
27.37,953.39,963.39,2439.14,2439.14,2440.2,2438,2836.2,2838.3,4072.85
26.11,963.39,968.04,2488.89,2488.89,2459.2,2476,2875.8,2912.2,4063.3
26.33,968.04,965.54,2502.96,2502.96,2489.4,2495.8,2916.1,2893.3,4156.24
27.19,965.54,955.3,2485.06,2485.06,2498.7,2487.7,2901,2894.5,4140.84
29.18,955.3,946.78,2420.83,2420.83,2463.5,2454.3,2846.1,2822.9,4115.19
28.56,946.78,953.7,2429.42,2429.42,2453.4,2391.5,2821.2,2869.7,4074.51
29.86,953.7,939.13,2435.84,2435.84,2402.7,2369.1,2860.1,2858.1,4141.56
30.27,939.13,932.7,2440.93,2440.93,2362.6,2357.5,2847.1,2874.1,4141.56
29.27,932.7,936.46,2439.15,2439.15,2367.1,2380.6,2862.1,2875.1,4142.71
26.79,936.46,953.35,2498.93,2498.93,2371.6,2403.7,2888.6,2939.5,4142.71
24.38,953.35,970.84,2528.77,2528.77,2419.3,2418.4,2961.9,2975.5,4283.57
24.01,970.84,970.43,2531.99,2531.99,2459.75,2477.4,2982.7,2998.9,4320.8
24.36,975.04,977.07,2616.8,2616.8,2500.2,2536.4,3023.4,3072.8,4358.03
25.66,977.07,966.58,2591.05,2591.05,2538.2,2525,3055.1,3037.7,4427.3
25.07,966.58,964,2588.56,2588.56,2505.3,2515.6,3012.8,3006.7,4356.87
26.01,964,956.05,2562.42,2562.42,2532.7,2474.8,3035,2954.9,4359.35
28.69,956.05,927.69,2527.59,2527.59,2461.5,2443.6,2933.3,2919.8,4270.92
28.02,927.69,939.21,2466.81,2466.81,2386.9,2405,2831,2862.5,4145.14
25.17,939.21,952.12,2508.36,2508.36,2436.6,2441.9,2914.1,2902.9,4179.13
23.75,952.12,957.94,2524.47,2524.47,2470.1,2452.4,2935.1,2919.8,4198.17
23.45,957.94,950.73,2524.59,2524.59,2453.1,2446.7,2915.6,2932.8,4132.64
21.65,950.73,961.51,2553.34,2553.34,2457.9,2483.3,2955.6,2976.1,4170
21.65,956.12,970.055,2576.53,2576.53,2509.5,2510.6,3004.9,2987,4247.09
21.65,961.51,978.6,2593.95,2593.95,2499.8,2517.5,2994.1,3008.3,4291.31
22.53,978.6,970.81,2585.15,2585.15,2526.3,2531.7,3011,2998.1,4328.8
23.16,970.81,963.04,2565.88,2565.88,2504.7,2525.7,2957.5,2988.6,4208.29
21.36,980.28,1001.27,2694.29,2694.29,2602.1,2614.1,3206.3,3187.5,4481.02
20.67,1001.27,1006,2698.07,2698.07,2610.4,2609.5,3174.2,3188.4,4533.82
20.55,1006,1006.9,2682.6,2682.6,2614,2590.3,3175.1,3166.3,4545.18
21.29,1006.9,1003.54,2708.33,2708.33,2600.7,2604.5,3186.7,3189.6,4508.45
20.51,1003.54,1012.46,2719.19,2719.19,2620.1,2625.6,3189.4,3216.7,4513.87
21.55,1012.46,1010.74,2724.07,2724.07,2642.3,2637.4,3229.9,3220.9,4569.5
20.66,1010.74,1019.01,2721.88,2721.88,2628.3,2626.8,3214,3235.8,4515.31
20.38,1019.01,1020.01,2746.36,2746.36,2635.7,2644.1,3264.1,3240,4578.42
19.73,1020.01,1024.14,2713.24,2713.24,2650,2635.4,3239.6,3178.7,4561.95
19.84,1024.14,1020.09,2717.35,2717.35,2634.6,2652.8,3172.9,3187.7,4523.75
