PUR_A,ASSETS,LIABILITIES
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32475,37264,4789
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
32910,37943,5033
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34065,38730,4665
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
34644,38912,4268
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35078,39465,4387
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35346,39551,4205
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
